question,answer,type
How much will an East African student need to pay for a semester in the BA in Animation course?,"190,100.00",paraphrased
What is what is the total semester fee for ba in animation for an east african student??,"190,100.00",paraphrased
How much does a Non-East African student need to pay for the BA in Animation semester fee?,"239,540.00",paraphrased
What is the complete semester fee that a Non-East African student has to pay for studying BA in Animation?,"239,540.00",paraphrased
"For a Non-East African student, what is the total fee for one semester of the BA in Animation course?","239,540.00",paraphrased
What is the semester fee amount for a Non-East African student pursuing a BA in Animation?,"239,540.00",paraphrased
What is what is the total semester fee for ba in animation for a non-east african student??,"239,540.00",paraphrased
How much does a Kenyan student need to pay for a semester in the BA Journalism program?,"182,100.00",paraphrased
What is the semester tuition cost for a Kenyan student enrolled in Journalism BA?,"182,100.00",paraphrased
What is the overall fee a Kenyan student must pay for one semester of the BA in Journalism?,"182,100.00",paraphrased
How much is the complete semester fee for a Kenyan student pursuing a BA in Journalism?,"182,100.00",paraphrased
What is what is the total semester fee for ba in journalism for a kenyan student??,"182,100.00",paraphrased
How much does a semester of BA in Journalism cost for a student from East Africa?,"190,100.00",paraphrased
What is the total fee for an East African student enrolled in the BA in Journalism program for one semester?,"190,100.00",paraphrased
"For an East African student, what is the complete semester fee for the BA in Journalism course?","190,100.00",paraphrased
What would be the total semester charges for an East African individual pursuing a BA in Journalism?,"190,100.00",paraphrased
What is what is the total semester fee for ba in journalism for an east african student??,"190,100.00",paraphrased
How much does a Non-East African student have to pay for a semester in the BA Journalism program?,"239,540.00",paraphrased
What is the semester fee for a Non-East African student enrolled in the BA Journalism course?,"239,540.00",paraphrased
What's the overall semester charge for the BA in Journalism for someone who is not from East Africa?,"239,540.00",paraphrased
What is the fee amount for a Non-East African student pursuing a BA in Journalism for one semester?,"239,540.00",paraphrased
What is what is the total semester fee for ba in journalism for a non-east african student??,"239,540.00",paraphrased
How much does a Kenyan student need to pay in total for the MSc in Management & Organizational Development this semester?,"159,400.00",paraphrased
What's the overall fee for a Kenyan student pursuing the MSc in Management & Organizational Development for this semester?,"159,400.00",paraphrased
What would be the complete semester fee for the MSc in Management & Organizational Development for a student from Kenya?,"159,400.00",paraphrased
What is the total amount a Kenyan student must pay for the semester for the MSc in Management & Organizational Development?,"159,400.00",paraphrased
What is what is the total semester fee for msc in management & organizational development for a kenyan student??,"159,400.00",paraphrased
How much is the complete semester fee for an East African student enrolled in the MSc in Management & Organizational Development program?,"167,400.00",paraphrased
What would an East African student need to pay in total for a semester in the MSc in Management & Organizational Development?,"167,400.00",paraphrased
Could you provide the full semester fee for the MSc in Management & Organizational Development for students coming from East Africa?,"167,400.00",paraphrased
What is the entire semester fee for the MSc in Management & Organizational Development for a student from East Africa?,"167,400.00",paraphrased
What is what is the total semester fee for msc in management & organizational development for an east african student??,"167,400.00",paraphrased
How much does the semester cost for a Non-East African student pursuing an MSc in Management & Organizational Development?,"213,240.00",paraphrased
What is the semester fee amount for a Non-East African student studying MSc in Management & Organizational Development?,"213,240.00",paraphrased
"For a Non-East African student, what is the total cost of the semester for the MSc in Management & Organizational Development?","213,240.00",paraphrased
Could you provide the total semester tuition for a Non-East African student in the MSc program for Management & Organizational Development?,"213,240.00",paraphrased
What is what is the total semester fee for msc in management & organizational development for a non-east african student??,"213,240.00",paraphrased
How much does an MBA semester cost for a student from Kenya?,"159,400.00",paraphrased
What is the complete semester charge for Kenyan students pursuing an MBA?,"159,400.00",paraphrased
What will a Kenyan student need to pay for their MBA semester?,"159,400.00",paraphrased
What is the overall fee for an MBA semester for students from Kenya?,"159,400.00",paraphrased
What is what is the total semester fee for mba for a kenyan student??,"159,400.00",paraphrased
